Run 0; Run 1; Run 2; Run 3; Run 4; Run 5; Run 6; Run 7; Run 8; Run 9; Run 10; Run 11; Run 12; Run 13; Run 14; Run 15; Run 16; Run 17; Run 18; Run 19; Run 20; Run 21; Run 22; Run 23; Run 24; Run 25; Run 26; Run 27; Run 28; Run 29; Run 30; Run 31; Run 32; Run 33; Run 34; Run 35; Run 36; Run 37; Run 38; Run 39; Run 40; Run 41; Run 42; Run 43; Run 44; Run 45; Run 46; Run 47; Run 48; Run 49; Run 50; Run 51; Run 52; Run 53; Run 54; Run 55; Run 56; Run 57; Run 58; Run 59; Run 60; Run 61; Run 62; Run 63; Run 64; Run 65; Run 66; Run 67; Run 68; Run 69; Run 70; Run 71; Run 72; Run 73; Run 74; Run 75; Run 76; Run 77; Run 78; Run 79; Run 80; Run 81; Run 82; Run 83; Run 84; Run 85; Run 86; Run 87; Run 88; Run 89; Run 90; Run 91; Run 92; Run 93; Run 94; Run 95; Run 96; Run 97; Run 98; Run 99; AVG;;MEAN;STDERR
27;36;30;28;33;31;35;45;36;33;40;41;42;47;30;22;34;37;35;31;35;34;26;34;43;37;30;27;42;29;24;33;31;31;26;31;40;41;42;38;30;49;38;36;27;32;41;32;36;41;35;20;30;36;40;30;28;37;30;31;45;34;38;25;32;31;31;30;34;27;37;23;32;49;24;36;28;30;25;35;37;35;26;41;28;37;27;30;39;26;32;32;31;36;38;29;37;32;27;40;33.52;;434.72;3.688504665
38;31;26;18;27;30;36;31;31;31;38;31;25;32;28;24;27;39;31;22;28;30;33;37;29;32;28;36;22;34;22;37;32;31;32;29;36;25;36;30;29;36;39;37;38;35;19;31;25;25;27;35;28;32;37;28;32;35;25;22;29;33;25;35;31;28;23;30;21;20;30;23;25;38;24;34;27;35;30;30;35;32;20;24;31;39;33;23;39;41;33;23;31;36;37;28;31;38;27;33;30.35;;;
34;32;36;30;25;37;29;31;16;32;33;36;34;22;34;24;23;36;28;25;26;32;28;31;32;23;26;23;30;24;23;35;20;28;30;30;27;35;20;33;28;35;34;31;31;27;21;21;19;33;27;23;21;27;20;26;27;29;25;26;26;26;41;26;41;31;34;34;33;28;34;37;25;30;31;19;23;24;21;30;30;34;38;31;26;29;42;25;27;33;33;40;26;35;26;32;29;29;28;27;28.98;;;
30;21;27;24;31;39;24;22;21;33;28;22;31;27;36;23;18;28;22;23;22;26;25;27;22;27;21;19;25;27;27;20;23;31;21;31;24;18;22;26;23;26;32;30;33;24;21;24;21;35;31;25;24;26;22;20;30;30;25;32;28;30;33;32;21;30;32;26;23;28;30;31;26;26;20;25;14;31;25;28;23;20;17;30;18;28;17;23;32;23;28;19;23;27;23;23;22;19;17;29;25.48;;;
32;18;16;25;23;20;28;18;28;23;23;27;30;23;23;24;29;23;22;24;24;25;26;19;26;26;22;17;24;27;18;27;22;28;22;21;27;24;21;22;22;20;22;27;22;14;21;24;28;19;27;23;23;20;29;23;25;25;24;30;16;21;21;29;19;21;29;21;36;23;23;24;22;19;22;24;21;25;22;31;24;22;24;23;19;38;22;21;31;26;24;18;29;24;21;27;24;19;19;20;23.59;;;
16;27;22;16;22;16;23;26;23;25;20;20;37;21;26;24;25;24;26;18;21;21;26;27;23;19;22;21;22;20;14;24;17;25;16;10;24;22;18;22;20;26;24;16;22;19;21;22;23;19;24;28;19;26;24;27;21;13;18;23;27;20;11;25;26;17;23;17;21;29;21;26;23;29;24;23;36;19;16;23;27;17;26;25;24;25;19;27;23;36;22;17;29;25;18;12;19;21;22;21;22.17;;;
26;15;21;17;20;27;14;24;25;22;16;20;22;18;17;22;22;19;25;21;22;19;19;20;21;16;18;25;21;20;17;20;22;23;19;21;16;16;22;14;20;22;20;21;29;27;20;16;25;26;20;16;20;20;24;21;18;28;16;12;18;19;23;23;23;27;17;21;17;20;22;16;18;19;14;17;20;28;23;26;17;20;24;13;11;27;25;26;21;27;35;27;22;20;16;13;14;24;22;20;20.6;;;
21;20;17;19;14;22;22;11;15;23;14;18;21;17;16;29;23;13;16;16;21;17;14;16;16;17;18;15;15;17;16;12;12;19;21;15;22;18;12;18;16;15;22;19;13;17;15;13;11;15;28;18;18;13;15;14;19;26;13;13;22;17;26;20;20;16;17;24;18;25;20;13;23;19;20;21;29;11;19;24;23;21;15;18;17;21;18;25;22;27;12;19;15;27;26;10;12;19;11;19;18.12;;;
12;15;18;12;16;12;17;17;18;21;18;14;21;16;16;17;25;16;14;21;17;21;21;17;16;13;18;16;13;18;20;18;12;14;9;14;19;18;21;15;12;20;19;17;28;11;14;16;21;11;15;24;15;14;17;26;21;24;16;12;17;18;14;17;13;12;13;7;19;13;17;15;20;24;5;10;19;19;20;20;18;22;12;13;14;18;18;24;16;13;13;16;14;20;17;16;15;17;13;12;16.52;;;
14;23;17;15;10;16;11;17;11;19;14;14;20;16;20;14;25;14;16;20;16;9;13;12;20;23;14;14;13;30;14;15;15;20;13;26;15;16;19;16;10;15;12;14;19;14;19;17;16;20;15;19;13;14;21;16;11;20;12;11;20;18;13;15;11;15;25;14;16;17;23;15;17;31;14;9;17;19;11;18;21;19;13;13;14;9;11;9;14;15;23;12;20;9;14;16;21;25;9;14;16.06;;;
7;16;16;13;10;12;10;11;12;18;11;22;14;16;13;13;15;11;20;19;15;16;12;13;6;8;13;12;16;12;14;11;10;10;12;15;13;12;17;14;10;9;14;18;18;17;14;5;14;12;17;24;15;10;19;18;19;18;12;14;21;9;9;15;13;8;16;18;13;21;15;10;12;16;11;20;12;15;9;13;17;18;8;12;17;14;9;23;19;15;15;16;14;8;17;14;15;17;9;12;13.92;;;
11;12;12;14;15;8;11;11;8;14;13;11;16;14;11;13;12;16;16;8;17;13;9;12;10;6;11;8;9;12;13;10;8;19;6;14;15;13;14;11;8;9;17;16;11;9;10;9;11;19;9;20;8;16;15;12;12;11;14;24;7;14;11;19;18;14;14;15;11;17;12;20;15;12;10;18;23;13;8;18;6;14;12;18;18;20;14;17;18;13;16;16;16;16;12;5;14;8;6;12;12.96;;;
11;12;3;15;9;12;10;12;9;15;13;22;16;14;7;12;12;18;12;11;10;12;16;13;12;13;9;12;15;13;14;15;11;15;12;11;10;8;9;8;6;12;9;6;24;13;21;10;15;13;13;16;14;14;14;11;10;10;13;8;7;12;15;11;14;16;10;5;8;9;9;17;16;11;16;7;11;15;10;21;18;13;10;12;20;14;13;8;11;14;11;21;14;10;19;9;15;12;11;15;12.45;;;
12;7;9;10;10;9;11;12;9;8;8;15;13;5;10;14;11;6;19;15;10;9;20;11;10;9;8;7;18;13;11;12;12;8;6;6;5;13;11;7;12;11;14;6;11;8;13;6;10;7;9;14;9;15;17;11;10;8;9;6;11;8;9;12;10;9;8;9;10;13;12;12;9;14;13;15;16;6;9;15;9;11;13;11;8;7;14;11;15;12;15;8;13;12;15;9;11;13;14;12;10.78;;;
9;10;14;6;10;8;14;6;6;8;7;8;18;8;9;13;11;7;17;9;13;10;10;14;7;7;8;9;5;7;13;8;9;10;12;8;13;13;11;13;12;10;14;15;9;10;10;8;13;12;8;14;13;8;11;6;13;8;10;9;10;11;15;19;14;8;13;8;17;9;6;11;9;16;14;13;13;6;17;13;9;15;11;10;12;9;9;19;9;13;12;18;10;14;10;7;9;6;3;9;10.67;;;
4;6;7;7;15;7;8;9;7;10;8;12;13;7;12;8;10;12;11;6;12;9;8;8;6;14;9;13;9;14;11;6;7;8;9;11;5;11;9;6;7;8;8;9;11;8;6;6;6;10;7;9;16;10;9;7;10;10;8;9;9;14;12;10;7;6;12;5;9;8;6;7;10;14;14;6;10;16;13;10;13;6;7;8;8;13;3;11;10;4;12;6;10;14;8;5;12;10;13;7;9.16;;;
11;16;12;6;10;9;6;9;12;11;8;4;13;9;1;9;10;10;8;8;7;12;8;12;7;7;10;8;11;12;10;12;9;8;6;11;10;12;5;3;8;10;13;8;10;10;10;7;14;4;5;7;9;10;13;8;8;7;6;9;5;8;7;7;10;6;5;7;3;7;10;7;4;13;10;11;1;6;8;6;7;10;8;7;3;4;7;17;14;8;10;10;14;12;13;12;13;5;7;5;8.65;;;
7;11;5;13;8;7;10;11;7;12;8;8;18;12;0;10;10;9;10;9;13;13;9;10;6;6;9;11;3;10;11;9;4;5;11;4;9;7;4;6;8;8;6;11;9;13;7;9;14;7;7;6;6;7;4;11;4;13;11;4;6;5;4;14;6;12;9;8;9;10;10;8;12;17;10;7;5;7;9;6;7;11;7;13;3;10;11;8;8;11;8;6;6;7;13;11;11;10;6;14;8.65;;;
12;7;6;7;11;12;10;8;5;6;9;10;9;4;6;7;8;6;10;6;8;8;7;7;9;10;7;7;9;3;6;9;4;4;5;4;9;4;5;5;6;8;11;13;6;8;2;7;11;11;11;12;8;10;9;5;4;11;12;11;8;10;9;5;7;4;6;9;13;6;9;9;5;11;9;7;10;10;4;8;7;5;7;7;8;14;2;4;8;12;9;4;7;6;6;4;9;7;10;5;7.65;;;
5;4;7;5;4;6;10;8;5;7;10;8;8;11;5;7;12;6;10;4;8;6;6;4;6;8;5;6;4;10;10;6;5;6;7;3;2;7;4;9;18;11;7;10;6;11;7;9;13;9;11;10;11;8;9;7;6;5;7;2;8;9;9;5;7;1;6;6;8;7;7;7;7;9;9;6;9;5;5;7;6;4;6;8;7;6;6;12;7;12;6;9;9;8;8;7;5;4;6;8;7.22;;;
2;10;6;5;5;8;8;5;1;3;4;4;10;4;4;8;7;7;8;4;5;7;8;3;8;10;6;6;7;6;11;10;4;6;7;8;7;4;4;6;9;6;9;7;11;10;4;5;2;3;3;7;5;7;5;5;2;6;6;7;5;11;4;6;4;6;5;6;11;9;4;3;4;14;7;6;4;4;8;5;2;4;2;6;7;3;4;5;1;7;6;4;5;8;6;3;4;6;9;8;5.91;;;
6;0;7;2;6;8;6;5;4;2;3;6;6;5;3;5;9;8;8;5;6;8;4;7;12;5;6;4;4;2;8;5;9;6;10;3;5;14;8;2;6;7;5;2;10;6;9;7;8;9;8;8;5;10;0;5;10;6;4;9;1;3;7;8;4;6;3;10;10;5;6;4;2;5;8;7;7;9;6;6;6;4;10;6;10;10;9;7;3;3;4;4;5;4;11;6;2;6;3;9;6.05;;;
6;7;6;5;4;6;5;4;7;9;4;6;7;7;7;4;8;6;8;3;9;4;2;7;7;6;2;11;4;0;3;4;6;4;4;5;4;5;10;6;6;8;2;4;8;6;5;7;5;4;3;8;6;7;4;11;2;5;1;7;6;5;3;5;5;6;5;4;5;8;3;7;5;7;5;8;5;6;11;3;5;5;8;9;3;8;3;8;6;7;5;3;4;3;10;3;6;9;8;8;5.64;;;
6;5;8;8;4;4;8;5;7;6;2;3;8;6;7;8;10;11;7;5;4;10;6;9;9;6;4;5;3;4;2;5;4;6;4;7;4;6;9;5;5;5;4;4;10;8;10;1;6;7;2;10;5;3;6;3;3;3;5;6;6;9;7;7;2;4;6;3;12;6;3;7;2;6;6;4;6;6;7;8;6;5;5;1;8;3;3;3;7;4;12;3;4;7;6;6;3;1;3;3;5.56;;;
5;6;4;6;2;6;3;7;4;4;4;10;9;8;4;8;5;5;6;7;11;7;2;3;5;4;1;3;3;8;4;9;6;4;4;3;8;9;8;7;7;5;3;5;6;5;7;5;6;6;3;9;5;3;2;6;3;8;2;1;3;5;8;6;5;6;2;2;4;7;6;1;4;10;7;4;7;4;7;1;8;1;4;5;7;6;1;7;6;6;7;4;4;3;6;4;3;9;7;6;5.22;;;
6;4;5;2;5;7;8;8;4;1;2;4;7;9;4;5;4;5;4;5;11;8;4;8;5;6;2;4;5;4;3;10;4;7;0;1;8;8;4;5;2;5;3;2;6;2;5;4;7;6;8;8;4;5;5;2;5;6;0;6;3;6;5;3;4;2;2;6;3;4;3;6;9;9;8;4;3;7;5;5;4;4;4;5;5;4;3;1;5;7;9;5;1;4;5;5;3;7;2;8;4.85;;;
4;2;3;4;4;2;7;1;4;5;4;7;6;2;4;3;1;4;2;5;5;4;9;4;3;3;4;3;3;4;1;5;6;2;5;4;6;2;4;6;4;1;2;8;4;3;3;1;7;8;2;12;5;3;2;2;3;1;0;0;3;6;2;7;7;3;2;3;4;5;7;4;2;9;4;3;8;4;1;3;5;2;4;4;0;3;3;3;0;8;10;1;4;5;2;4;4;6;4;5;3.92;;;
2;4;1;4;2;3;0;4;3;4;4;3;3;1;3;6;3;3;4;2;4;5;5;2;3;6;2;4;1;6;4;4;6;11;5;5;7;6;5;4;3;5;5;5;3;3;6;4;2;3;3;1;5;3;3;2;4;4;4;4;1;7;1;4;9;4;0;1;4;3;1;2;3;5;3;6;3;3;2;2;8;3;4;4;1;8;5;3;2;5;3;5;6;4;4;5;4;5;3;6;3.78;;;
3;4;1;3;1;4;3;5;4;1;5;4;3;3;2;4;5;6;2;5;0;7;3;4;5;10;5;4;4;4;1;5;4;3;3;0;5;5;7;3;3;6;1;11;4;2;10;5;4;2;4;2;4;3;5;3;7;4;4;2;7;4;4;1;1;11;3;7;4;8;6;4;2;4;1;3;2;3;0;3;4;3;0;1;1;10;3;4;1;4;2;2;3;3;7;6;4;4;3;5;3.84;;;
1;3;5;2;2;1;3;4;4;3;8;1;2;1;2;5;3;3;1;2;3;5;3;3;4;2;2;2;3;4;2;5;5;3;2;0;5;3;2;8;3;1;1;3;5;2;1;4;3;1;7;3;2;4;5;1;3;2;4;2;7;3;2;2;1;4;1;0;5;4;1;3;3;3;5;7;5;1;5;2;5;1;4;5;6;6;6;3;3;2;6;4;2;1;8;4;3;6;3;1;3.22;;;
2;5;1;2;2;1;1;4;1;3;3;3;1;7;3;6;5;4;6;3;6;4;2;3;4;4;2;3;0;3;4;3;3;3;1;3;0;4;5;3;1;4;2;6;2;3;3;3;6;5;3;4;1;4;3;6;2;4;1;3;1;4;1;6;3;7;1;1;6;5;4;2;2;5;2;0;1;3;4;0;2;2;4;6;1;2;4;3;5;1;5;2;2;5;6;4;4;7;4;1;3.17;;;
2;2;1;1;2;1;2;1;3;3;5;2;3;5;2;2;3;4;1;4;1;2;6;4;2;6;2;3;1;2;3;5;1;2;3;2;0;2;4;4;0;2;1;4;2;4;3;2;6;2;2;0;0;1;2;4;3;5;2;4;1;4;3;4;4;3;3;3;4;7;2;2;2;3;2;4;6;5;2;8;1;3;3;3;3;0;1;3;1;6;7;0;3;0;4;5;4;4;6;4;2.86;;;
