Run 0; Run 1; Run 2; Run 3; Run 4; Run 5; Run 6; Run 7; Run 8; Run 9; Run 10; Run 11; Run 12; Run 13; Run 14; Run 15; Run 16; Run 17; Run 18; Run 19; Run 20; Run 21; Run 22; Run 23; Run 24; Run 25; Run 26; Run 27; Run 28; Run 29; Run 30; Run 31; Run 32; Run 33; Run 34; Run 35; Run 36; Run 37; Run 38; Run 39; Run 40; Run 41; Run 42; Run 43; Run 44; Run 45; Run 46; Run 47; Run 48; Run 49; Run 50; Run 51; Run 52; Run 53; Run 54; Run 55; Run 56; Run 57; Run 58; Run 59; Run 60; Run 61; Run 62; Run 63; Run 64; Run 65; Run 66; Run 67; Run 68; Run 69; Run 70; Run 71; Run 72; Run 73; Run 74; Run 75; Run 76; Run 77; Run 78; Run 79; Run 80; Run 81; Run 82; Run 83; Run 84; Run 85; Run 86; Run 87; Run 88; Run 89; Run 90; Run 91; Run 92; Run 93; Run 94; Run 95; Run 96; Run 97; Run 98; Run 99; AVG;;MEAN;STDERR
2;3;2;0;0;3;3;2;3;2;1;4;4;8;2;3;4;2;4;3;5;3;4;1;5;3;5;1;5;1;0;5;2;2;1;2;1;1;2;5;2;1;1;1;4;4;3;4;3;2;2;2;0;4;2;0;2;3;5;1;2;2;2;2;6;7;2;6;3;5;5;5;3;3;1;4;0;3;1;4;1;3;3;3;2;2;2;2;2;4;0;2;4;0;4;4;3;4;2;1;2.69;;;
1;1;4;2;1;2;3;2;1;0;3;2;3;2;2;2;2;1;4;2;2;5;4;2;4;3;2;3;1;3;1;4;5;1;1;3;2;0;3;1;4;4;2;5;4;3;3;3;7;3;3;2;3;3;3;2;1;4;1;2;1;4;1;3;1;1;1;5;3;3;3;2;1;2;5;3;2;1;0;2;3;3;3;2;2;4;2;4;4;4;3;1;5;2;4;3;1;2;3;2;2.53;;;
3;1;3;1;3;2;3;2;3;3;2;1;9;4;5;0;2;3;4;1;2;3;3;0;1;3;3;2;2;2;1;4;0;4;0;1;1;1;2;6;3;4;2;5;5;3;4;2;6;1;4;9;2;2;0;3;3;3;2;3;3;7;1;1;2;4;0;4;5;3;2;4;4;2;2;1;1;0;1;1;3;1;1;2;1;5;1;3;1;3;2;2;5;2;3;3;4;5;3;2;2.62;;;
0;2;3;2;1;3;1;2;2;2;3;1;3;3;1;0;2;8;3;1;0;3;1;4;3;6;3;2;2;2;1;5;1;1;1;2;0;1;3;5;1;0;3;1;3;3;1;0;1;1;2;4;3;3;3;1;2;3;2;2;1;3;2;1;4;1;1;3;2;2;2;4;3;5;3;7;1;1;2;2;2;6;2;1;1;4;0;3;4;0;3;1;2;1;5;1;2;2;1;4;2.23;;;
1;3;3;2;2;2;1;0;4;1;3;2;8;2;2;0;2;4;0;2;2;3;4;4;5;3;1;0;1;3;1;3;1;3;2;0;2;2;2;3;4;2;3;3;3;4;3;0;2;1;2;1;2;2;1;2;2;2;1;0;0;5;1;1;0;2;2;4;3;3;2;2;1;6;5;2;1;3;2;0;1;1;1;3;4;5;0;1;0;1;6;2;2;0;1;1;3;6;2;1;2.15;;;
0;3;2;1;1;1;3;5;0;4;1;4;5;2;1;0;5;4;2;2;2;4;2;0;4;3;0;2;2;4;0;1;0;0;2;1;3;2;1;1;0;1;1;5;1;2;1;5;1;1;2;2;3;2;1;3;1;1;0;3;2;1;1;2;0;1;4;2;1;2;4;2;3;1;3;5;3;4;0;1;0;2;2;2;2;3;3;4;6;1;6;3;5;1;2;2;2;1;1;2;2.08;;;
3;4;4;3;1;2;1;1;2;3;1;3;1;5;1;0;2;1;1;2;3;0;2;2;2;0;1;1;3;0;1;1;2;1;4;4;0;1;1;1;2;1;2;1;3;2;2;2;3;2;1;1;3;1;0;1;2;1;0;1;0;1;1;2;3;1;1;5;0;1;3;0;3;1;3;0;4;3;1;1;2;2;2;1;4;3;2;3;2;1;1;2;1;0;3;4;1;0;4;2;1.76;;;
2;3;3;1;0;3;2;1;0;2;2;1;1;2;1;2;0;1;2;1;2;6;2;1;1;2;3;1;0;1;2;1;1;3;1;3;3;0;4;2;1;1;0;5;1;2;2;2;3;0;2;3;1;0;1;1;2;2;2;2;2;0;1;1;2;0;1;6;3;2;3;3;5;3;2;3;3;3;2;0;2;2;0;1;3;4;2;1;5;0;1;4;2;3;2;2;0;5;3;0;1.89;;;
0;2;2;1;0;2;1;1;0;2;3;2;2;2;1;2;0;3;1;1;2;1;3;2;4;2;2;2;4;2;0;0;3;1;0;1;1;2;2;4;1;2;3;3;3;2;2;1;2;1;1;2;1;2;1;1;0;1;0;2;3;4;1;1;2;1;2;2;2;3;1;0;1;3;1;1;1;2;1;0;1;4;0;0;3;2;1;0;0;3;3;1;2;0;1;2;1;0;1;1;1.55;;;
2;0;2;1;1;1;1;2;2;0;3;1;4;3;1;0;0;2;1;0;2;1;1;3;2;2;1;1;1;1;1;1;1;0;0;0;2;2;3;1;1;0;0;1;1;2;1;0;2;3;1;2;1;1;4;1;1;0;3;0;2;0;2;4;1;1;1;2;4;1;3;2;3;4;1;3;0;3;1;3;1;2;1;3;3;1;2;1;0;1;0;1;0;1;3;2;3;3;2;2;1.51;;;
3;0;3;1;0;1;2;1;1;3;0;2;2;1;1;0;2;3;2;1;0;3;2;1;3;1;1;4;0;1;0;3;1;3;0;1;3;1;1;1;1;0;0;2;1;2;1;2;0;1;2;2;1;2;1;1;1;1;0;1;1;2;1;1;1;0;2;3;1;0;2;0;1;2;3;1;4;3;0;2;2;1;0;3;2;0;2;0;3;3;3;2;1;0;1;0;0;0;2;1;1.37;;;
0;2;1;1;0;1;0;0;1;1;2;2;1;0;1;0;0;4;0;2;2;1;4;2;2;3;0;0;0;1;1;0;2;1;1;0;1;1;5;2;1;1;0;0;3;1;1;0;2;2;1;0;0;1;2;1;0;0;0;1;1;2;2;2;1;0;1;1;3;2;1;2;1;4;2;5;1;1;1;1;1;1;1;1;1;0;2;1;0;2;2;0;0;1;2;0;1;1;1;0;1.17;;;
1;0;2;2;1;2;0;2;0;0;0;0;3;2;2;1;1;2;2;0;1;1;2;0;3;0;2;2;2;0;0;2;0;0;1;0;1;0;3;1;0;3;2;0;0;2;1;0;0;1;0;1;0;0;3;1;1;2;4;2;1;1;1;2;0;2;0;0;1;2;1;1;0;3;0;1;3;3;2;2;2;3;3;2;2;2;2;2;0;1;2;0;2;1;2;0;2;1;3;1;1.26;;;
1;1;1;1;0;0;0;3;0;0;3;3;3;0;1;0;1;0;0;0;0;2;0;2;1;2;0;0;1;0;2;2;0;3;1;2;2;0;1;0;0;3;1;2;0;0;1;0;4;2;1;0;0;2;1;3;2;0;0;0;1;2;0;1;0;0;0;1;1;1;1;1;0;2;0;1;0;1;2;0;2;0;2;1;1;2;1;0;1;1;0;2;1;1;1;0;2;0;3;1;0.98;;;
0;1;2;0;0;1;1;3;0;1;1;0;3;1;3;0;1;2;0;0;0;1;2;2;3;2;1;0;0;0;1;1;1;3;5;1;1;1;1;2;1;0;1;1;0;0;3;3;0;1;3;2;1;2;2;3;2;1;0;2;4;2;0;1;0;2;0;1;0;1;1;0;1;1;0;5;1;2;2;1;1;1;0;2;1;0;0;0;1;0;3;1;1;2;1;0;1;1;3;0;1.2;;;
1;1;3;1;0;2;0;2;3;1;2;0;2;1;1;0;0;1;2;0;1;0;3;1;2;2;1;3;0;2;1;2;1;0;1;0;0;2;0;4;1;1;0;1;2;1;3;0;1;1;3;1;2;1;4;2;1;0;1;1;1;0;0;0;0;0;1;0;0;3;0;2;1;1;2;0;3;1;1;1;1;1;0;0;2;2;1;1;0;4;3;1;1;1;2;1;0;2;0;3;1.19;;;
0;2;1;1;1;0;0;0;2;2;1;1;0;2;2;0;1;4;1;3;0;0;0;1;0;0;0;0;0;0;1;1;1;0;1;1;0;0;2;1;0;2;0;5;1;1;4;1;0;0;0;0;0;0;1;0;1;0;0;1;0;2;0;0;0;0;2;1;2;1;0;0;0;1;0;1;1;1;1;1;1;1;0;1;0;2;0;1;1;1;2;0;2;0;0;0;0;1;1;0;0.78;;;
0;0;1;0;0;1;0;1;0;0;0;0;2;1;0;0;2;1;1;1;1;0;1;0;1;1;0;0;0;3;1;2;0;2;0;2;0;0;2;0;4;1;0;3;2;1;4;2;1;1;0;1;0;1;0;0;0;0;1;0;1;0;0;1;0;1;0;0;3;2;1;2;1;3;0;2;0;0;2;3;1;3;0;0;1;0;1;0;0;0;1;1;0;1;2;0;1;0;1;0;0.84;;;
0;0;1;1;2;0;0;2;0;1;0;2;2;0;1;0;1;2;0;0;0;1;0;2;1;3;0;0;0;1;0;0;2;2;1;1;0;1;0;0;1;1;0;1;0;1;2;1;3;2;1;0;0;0;1;0;2;1;1;1;0;2;0;0;0;1;0;3;0;2;0;1;1;0;0;3;1;1;3;1;0;0;0;0;1;1;1;4;1;2;0;0;0;1;4;0;0;2;0;1;0.86;;;
0;1;2;1;0;1;0;3;1;0;1;1;2;0;1;0;0;1;0;0;0;0;1;0;1;0;0;1;0;0;1;0;0;2;0;2;0;0;2;1;1;1;0;0;4;1;6;0;0;1;2;0;0;4;2;0;0;0;0;0;1;1;0;1;0;2;2;1;1;0;1;1;0;2;0;0;3;1;1;2;1;1;0;0;0;2;0;0;2;2;2;0;3;3;2;1;0;2;1;0;0.9;;;
1;0;0;0;1;0;0;0;0;0;1;3;0;1;0;0;0;2;2;0;1;1;0;0;1;1;0;2;0;1;1;0;1;2;0;0;1;0;1;0;0;1;0;0;0;1;1;1;0;1;3;0;1;0;1;0;1;0;0;0;0;1;1;2;0;3;0;0;1;2;0;0;1;1;0;2;1;3;2;0;3;2;0;1;1;0;1;1;1;2;3;2;1;0;1;0;1;0;1;0;0.76;;;
0;0;1;3;1;0;0;0;1;1;3;1;1;0;0;0;0;1;2;1;1;0;2;1;1;1;1;1;0;1;0;3;0;1;1;1;1;0;1;0;1;0;0;0;2;0;0;2;0;0;2;1;1;1;3;0;1;2;2;1;0;1;0;2;0;0;0;3;2;0;0;1;0;1;0;1;1;2;1;0;0;0;0;0;2;1;1;3;0;6;0;0;0;0;5;0;1;1;2;1;0.9;;;
1;0;0;2;1;1;0;0;0;0;1;0;1;0;1;1;0;2;1;0;1;1;1;1;2;0;1;1;1;0;2;1;1;4;2;1;1;1;1;0;0;0;2;0;0;0;0;0;1;0;1;1;1;0;1;0;0;0;0;1;0;0;0;1;0;2;0;1;0;0;1;0;0;2;0;2;1;0;0;0;0;0;0;1;2;1;0;0;1;2;1;1;1;0;2;0;1;0;0;1;0.67;;;
0;0;0;0;1;0;0;0;1;0;1;0;0;0;3;0;1;1;1;0;1;1;0;0;2;2;1;1;0;1;0;0;0;0;2;2;1;0;0;1;1;0;1;0;3;1;5;1;0;0;1;0;0;0;0;0;1;0;0;0;0;2;0;1;1;1;2;1;1;0;1;0;0;1;0;0;2;0;0;1;1;1;0;1;2;1;0;0;1;0;3;0;2;0;1;0;1;0;0;2;0.68;;;
0;0;2;0;1;0;0;1;0;2;1;1;2;0;1;1;0;1;1;1;0;3;1;0;0;1;0;0;0;1;0;0;0;0;0;2;0;0;0;0;1;1;0;0;0;0;1;0;0;0;1;0;1;1;1;1;1;1;0;0;0;0;1;0;1;1;0;1;1;1;0;0;1;0;1;2;2;0;0;1;0;1;3;1;1;0;0;1;1;0;1;0;0;2;1;1;0;0;1;2;0.62;;;
0;1;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;1;0;0;2;1;0;0;0;0;1;0;0;3;0;3;2;0;1;1;1;0;0;0;2;1;3;0;1;0;1;1;0;0;1;0;0;0;0;0;1;1;0;1;0;1;1;0;0;0;1;0;0;1;0;0;1;1;0;1;0;0;1;0;0;0;1;0;0;1;0;1;1;0;3;0;0;0;1;0;0.51;;;
0;0;0;1;0;2;0;0;0;2;0;2;0;0;3;0;0;2;0;0;0;1;2;0;2;0;2;0;0;0;1;2;0;2;1;0;0;1;0;1;0;0;0;1;1;1;0;0;0;0;1;0;0;0;2;0;1;0;0;0;0;1;2;1;0;0;0;2;1;2;1;0;2;2;0;2;0;2;3;0;0;0;0;0;1;1;0;1;0;1;0;1;1;0;2;1;0;0;0;2;0.66;;;
0;0;0;1;1;0;0;0;0;2;0;2;0;2;0;1;1;0;0;0;1;0;1;1;0;3;0;0;0;1;1;1;1;0;2;0;0;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;0;0;1;0;3;1;0;0;0;0;0;1;0;2;1;0;2;0;0;0;1;0;0;0;1;2;0;0;0;3;0;1;1;1;1;0.52;;;
0;0;2;1;0;0;0;1;0;1;1;1;0;0;1;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;1;1;0;0;1;0;1;0;0;1;0;0;0;0;2;0;0;1;0;0;0;0;0;1;1;0;1;0;0;0;0;2;0;2;0;0;0;2;0;0;0;0;2;1;0;0;0;2;0;0;0;3;1;0;0;2;0;0;0;1;0;1;0;1;1;0;0;0;0;0;0.43;;;
0;1;0;1;0;0;0;0;0;1;0;1;0;0;1;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;1;2;1;1;0;2;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;1;0;0;1;0;1;0;0;0;2;1;0;1;2;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;1;1;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;3;0;0.38;;;
